ChronicIllness	MasterProductID	MasterProductFullName
Depression	11845	DEOTINE CAP 60MG 28 
Diabetes	11849	FORXIGA TAB 10MG 28 
Diabetes	11851	INVOKANA TAB 300MG 30 
Heart Failure	11855	METATAR TAB 50MG 100 
Heart Failure	11856	METATAR TAB 100MG 60 
Diabetes	11857	NESINA TAB 6.25MG 28 
Diabetes	11858	NESINA TAB 12.5MG 28 
Chronic Obstructive Pulmonary Disease (COPD)	11912	SYMBICORT RHALER 200MCG/6MCG 120D X 1 1 
Lipids	11916	CROSUVA 5 TAB 5MG 30 
Lipids	11918	CROSUVA 20 TAB 20MG 30 
Lipids	11919	CROSUVA 40 TAB 40MG 30 
Diabetes	11923	NESINA MET TAB 12.5MG/1G 56 
Depression	11998	DULOXETINE (RBX) CAP 30MG 28 
Diabetes	12006	JANUMET XR TAB 100MG/1G 28 
Lipids	12043	CADIVAST TAB 10MG/20MG 30 
Lipids	12048	CADIVAST TAB 5MG/40MG 30 
Hypertension	12051	CANDESARTAN (TW) TAB 4MG 30 
Hypertension	12052	CANDESARTAN (CHEM-MART) TAB 8MG 30 
Epilepsy	12072	LAMOTRIGINE (ASPEN) TAB 50MG 56 
Hypertension	12081	ADESAN HCT TAB 32MG/12.5MG 30 
Hypertension	12082	ADESAN HCT TAB 32MG/25MG 30 
Depression	12092	MIRTAZAPINE ODT (SANDOZ) OR-DISTAB 30MG 30 
Hypertension	12142	IRBESARTAN HCT (ACTAVIS) TAB 150MG/12.5MG 30 
Hypertension	12144	IRPRESTAN TAB 75MG 30 
Hypertension	12145	IRPRESTAN TAB 150MG 30 
Epilepsy	12148	LEVI TAB 250MG 60 
Heart Failure	12153	METROL-XL CR-TAB 47.5MG 30 
Heart Failure	12154	METROL-XL CR-TAB 95MG 30 
Heart Failure	12157	MINAX XL CR-TAB 47.5MG 30 
Heart Failure	12207	BISOPROLOL (AN) TAB 5MG 28 
Heart Failure	12208	BISOPROLOL (AN) TAB 10MG 28 
Hypertension	12212	CANDESARTAN (AN) TAB 8MG 30 
Hypertension	12214	CANDESARTAN (AN) TAB 32MG 30 
Hypertension	12215	CANDESARTAN HCTZ (AN) TAB 16MG/12.5MG 30 
Heart Failure	12220	CARVEDILOL (AN) TAB 12.5MG 60 
Depression	12228	CITALOPRAM (AN) TAB 40MG 28 
Depression	12238	DULOXETINE (AN) CAP 30MG 28 
Depression	12243	ESCITALOPRAM (AN) TAB 20MG 28 
Epilepsy	12258	GABAPENTIN (AN) TAB 600MG 100 
Diabetes	12261	GLIMEPIRIDE (AN) TAB 2MG 30 
Hypertension	12266	IRBESARTAN (AN) TAB 150MG 30 
Hypertension	12269	IRBESARTAN HCTZ (AN) TAB 150MG/12.5MG 30 
Hypertension	12271	IRBESARTAN (GH) TAB 75MG 30 
Hypertension	12275	IRBESARTAN HCT (GH) TAB 300MG/12.5MG 30 
Epilepsy	12285	LEVETIRACETAM (AN) TAB 250MG 60 
Epilepsy	12287	LEVETIRACETAM (AN) TAB 1G 60 
Diabetes	12296	METFORMIN (AN) TAB 1000MG 90 
Depression	12300	MIRTAZAPINE ODT (AN) OR-DISTAB 15MG 30 
Depression	12301	MIRTAZAPINE ODT (AN) OR-DISTAB 30MG 30 
Depression	12302	MIRTAZAPINE ODT (AN) OR-DISTAB 45MG 30 
Depression	12303	MIRTAZAPINE (AN) TAB 45MG 30 
Hypertension	12305	MIZART TAB 40MG 28 
Hypertension	12306	MIZART TAB 80MG 28 
Hypertension	12308	MIZART HCT TAB 80MG/12.5MG 28 
Hypertension	12309	MIZART HCT TAB 80MG/25MG 28 
Diabetes	12343	PIOGLITAZONE (AN) TAB 45MG (AS HCL) 28 
Lipids	12344	PRAVASTATIN (AN) TAB 10MG 30 
Osteoporosis	12360	RISEDRONATE (AN) TAB 35MG 4 
Lipids	12370	ROSUVASTATIN (AN) TAB 40MG 30 
Hypertension	12382	TELMISARTAN (GH) TAB 40MG 28 
Hypertension	12385	TELMISARTAN (SANDOZ) TAB 40MG 28 
Hypertension	12416	TELMISARTAN HCT (SANDOZ) TAB 80MG/25MG 28 
Hypertension	12440	VALSARTAN (APO) TAB 80MG 28 
Depression	12451	DULOXETINE (PHARMACOR) CAP 30MG 28 
Epilepsy	12470	LAMOTRIGINE (AN) TAB 25MG 56 
Lipids	12500	AMLODIPINE/ATORVASTATIN (APO) TAB 5MG/40MG 30 
Lipids	12504	AMLODIPINE/ATORVASTATIN (APO) TAB 5MG/80MG 30 
Lipids	12513	AMLODIPINE/ATORVASTATIN (APO) TAB 10MG/20MG 30 
Lipids	12514	AMLODIPINE/ATORVASTATIN C-MART TAB 10MG/40MG 30 
Lipids	12515	AMLODIPINE/ATORVASTATIN BLOOMS TAB 10MG/40MG 30 
Lipids	12516	AMLODIPINE/ATORVASTATIN (TW) TAB 10MG/40MG 30 
Lipids	12518	AMLODIPINE/ATORVASTATIN BLOOMS TAB 5MG/10MG 30 
Lipids	12522	AMLODIPINE/ATORVASTATIN (APO) TAB 10MG/80MG 30 
Lipids	12523	AMLODIPINE/ATORVASTATIN (TW) TAB 5MG/10MG 30 
Lipids	12528	AMLODIPINE/ATORVASTATIN (APO) TAB 5MG/20MG 30 
Depression	12531	CITALOPRAM (ACTAVIS) TAB 10MG 28 
Diabetes	12533	DIAFORMIN XR ER-TAB 1G 60 
Epilepsy	12543	FYCOMPA TAB 2MG 7 
Epilepsy	12545	FYCOMPA TAB 8MG 28 
Heart Failure	12554	METOPROLOL (AN) TAB 50MG 100 
Chronic Obstructive Pulmonary Disease (COPD)	12577	ANORO ELLIPTA INHL 62.5MCG/25MCG 30DOSE 1 
Chronic Obstructive Pulmonary Disease (COPD)	12622	INCRUSE ELLIPTA INHL 62.5MCG 30D 1 
Hypertension	12662	VALSARTAN HCTZ (APO) TAB 160MG/12.5MG 28 
Diabetes	12676	JARDIANCE TAB 10MG 30 
Depression	12706	BRINTELLIX TAB 15MG 28 
Depression	12707	BRINTELLIX TAB 20MG 28 
Hypertension	12712	IRBESARTAN (ACTAVIS) TAB 150MG 30 
Depression	12735	AMITRIPTYLINE (APO) TAB 25MG 50 
Depression	12737	AMITRIPTYLINE (APO) TAB 10MG 50 
Lipids	12756	ROSUVASTATIN (BLOOMS) TAB 10MG 30 
Osteoporosis	12772	ALENDRONATE PLUS D3 (APO) TAB 70MG/140MCG 4 
Depression	12783	AMITRIPTYLINE (TW) TAB 10MG 50 
Lipids	12792	ATORVASTATIN (BLOOMS) TAB 10MG 30 
Depression	12793	CITALOPRAM (ACTAVIS) TAB 20MG 28 
Depression	12797	DESVENLAFAXINE (ACTAVIS) ER-TAB 100MG 28 
Depression	12798	DESVENLAFAXINE XR (GH) ER-TAB 100MG 28 
Depression	12800	DESVENLAFAXINE XR (GH) ER-TAB 50MG 28 
Lipids	12835	ATORVASTATIN (BLOOMS) TAB 20MG 30 
Lipids	12837	ATORVASTATIN (BLOOMS) TAB 80MG 30 
Depression	12841	CITALOPRAM (ACTAVIS) TAB 40MG 28 
Depression	12860	PAROXETINE (ACTAVIS) TAB 20MG 30 
Lipids	12865	PRAVASTATIN-AURO TAB 10MG 30 
Heart Failure	12876	ATENOLOL (RBX) TAB 50MG 30 
Osteoporosis	12933	ALENDRONATE PLUS D3 (TW) TAB 70MG/140MCG 4 
Osteoporosis	12934	ALENDRONATE PLUS D3 (CHEM-MART TAB 70MG/140MCG 4 
Lipids	12994	ATOZET TAB 10MG/80MG 30 
Osteoporosis	13073	ALENDRONATE PLUS D3 (SZ) TAB 70MG/140MCG 4 
Osteoporosis	13074	ALENDRONATE PLUS D3 (SZ) TAB 70MG/70MCG 4 
Chronic Obstructive Pulmonary Disease (COPD)	13088	SPIRIVA RESPIMAT INHL 2.5MCG 60D 1 
Diabetes	13093	XIGDUO XR MR-TAB 10/500 28 
Osteoporosis	13136	OSTIRA BAG 5MG/100ML 1 1X100ML
Hypertension	13162	ASARTAN HCT TAB 32MG/25MG 30 
Diabetes	13189	ACTAZE TAB 45MG (AS HCL) 28 
Depression	13192	AMITRIPTYLINE (ALPHAPHARM) TAB 25MG 50 
Depression	13193	AMITRIPTYLINE (ALPHAPHARM) TAB 50MG 50 
Diabetes	13252	JARDIAMET TAB 5MG/500MG 60 
Lipids	13276	ROSUVASTATIN (AMENAL) TAB 20MG 30 
Lipids	13278	ROSUVASTATIN (AMNEAL) TAB 5MG 30 
Depression	13291	DESVENLAFAXINE MR (APO) ER-TAB 50MG 28 
Diabetes	13360	ACARBOSE (MYLAN) TAB 100MG 90 
Hypertension	13397	CANDESARTAN HCTZ (BLOOMS) TAB 16MG/12.5MG 30 
Hypertension	13401	IRBESARTAN HCTZ (BLOOMS) TAB 300MG/25MG 30 
Hypertension	13402	IRBESARTAN (BLOOMS) TAB 75MG 30 
Hypertension	13403	IRBESARTAN (BLOOMS) TAB 150MG 30 
Hypertension	13404	IRBESARTAN (BLOOMS) TAB 300MG 30 
Diabetes	13543	FORMET 850 TAB 850MG 60 
Lipids	13574	ATORVASTATIN (AMNEAL) TAB 80MG 30 
Hypertension	13617	CANDESAN COMBI TAB 16MG/12.5MG 30 
Diabetes	13659	METFORMIN XR 1000 (CMART) ER-TAB 1G 60 
Diabetes	13662	METFORMIN XR 500 (APOTEX) ER-TAB 500MG 120 
Diabetes	13663	METFORMIN XR 500 (BLOOMS) ER-TAB 500MG 120 
Hypertension	13667	OLMESARTAN/AMLODIPINE (MYL) TAB 40MG/10MG 30 
Hypertension	13670	OLMESARTAN HCT (MYL) TAB 20MG/12.5MG 30 
Hypertension	13671	OLMESARTAN HCT (MYL) TAB 40MG/12.5MG 30 
Hypertension	13672	OLMESARTAN HCT (MYL) TAB 40MG/25MG 30 
Hypertension	13750	IRBESARTAN (AMNEAL) TAB 75MG 30 
Hypertension	13753	IRBESARTAN HCTZ (AMNEAL) TAB 150MG/12.5MG 30 
Depression	1760	CITALOPRAM (TW) TAB 20MG 28 
Anti-Coagulant	1834	CLEXANE INJ 100MG 10 10
Depression	2178	CYMBALTA CAP 30MG 28 
Heart Failure	2537	DILASIG TAB 12.5MG 60 
Depression	3028	ENDEP TAB 25MG 50 
Epilepsy	3069	EPIRAMAX TAB 25MG 60 
Depression	3132	ESITALO TAB 10MG 28 
Depression	3276	FAVERIN TAB 100MG 30 
Lipids	3729	GEMHEXAL TAB 600MG 60 BOTTLE
Heart Failure	3758	SOTALOL GENRX TAB 160MG 60 
Depression	3765	CLOMIPRAMINE GENRX TAB 25MG 50 
Diabetes	3799	GLIMEPIRIDE (APO) TAB 2MG 30 
Diabetes	3833	GLUCOMET TAB 500MG 100 
Diabetes	3864	GLYADE MR-TAB 30MG 100 
Diabetes	4080	HUMALOG MIX25 INJ 25+75UNITS/ML, 3ML 5 1 
Lipids	4488	JEZIL TAB 600MG 60 
Epilepsy	4704	LAMOTRUST TAB 50MG 56 
Epilepsy	4795	LEVITAM TAB 500MG 60 
Epilepsy	4796	LEVETIRACETAM (APO) TAB 1G 60 
Lipids	4870	LIPIDIL CAP 67MG 60 
Heart Failure	4984	LOPRESOR TAB 100MG 60 
Depression	5106	MAOSIG TAB 300MG 60 
Diabetes	5199	MELLIHEXAL TAB 80MG 100 
Diabetes	5275	METEX XR ER-TAB 500MG 90 90
Diabetes	5292	METFORMIN (RANBAXY) TAB 500MG 100 
Diabetes	5298	METFORMIN GENRX TAB 500MG 100 
Diabetes	5299	METFORMIN-BC TAB 500MG 100 
Heart Failure	5319	METOPROLOL (GENRX) TAB 50MG 100 
Heart Failure	5321	METOPROLOL (HEALTHSENSE) TAB 50MG 100 
Heart Failure	5808	NEBILET TAB 1.25MG 28 
Diabetes	6045	NOVORAPID FLEXPEN INJ 100UNITS/ML, 3ML 5 1 
Diabetes	6050	NOVORAPID NOVOLET INJ 3ML 5 1 
Hypertension	6159	OLMETEC TAB 20MG 30 
Immunology	6248	ORENCIA VL 250MG/15ML 1 
Depression	6532	PAROXETINE (GA) TAB 20MG 30 
Epilepsy	6735	PHENOBARB ELIX 15MG/5ML 100ML 100 
Anti-Coagulant	6968	PRADAXA CAP 110MG 1 60
Lipids	6973	PRAVASTATIN (APO) TAB 40MG 30 
Lipids	6988	PRAVASTATIN-RL TAB 20MG 30 
Lipids	6995	PRAVASTATIN (WINTHROP) TAB 20MG 30 
Lipids	6996	PRAVASTATIN (WINTHROP) TAB 40MG 30 
Lipids	7001	PRAVACHOL TAB 80MG 30 
Lipids	7005	PRAVASTATIN (GEN HLTH) TAB 80MG 30 
Lipids	7008	PRAVASTATIN (APO) TAB 10MG 30 
Diabetes	7138	PROTAPHANE INNOLET INJ 100 UNITS/ML, 3ML 5 1 
Depression	7142	PROZAC LIQ 20MG/5ML 140ML 1 
Lipids	7148	PRAVASTATIN (SANDOZ) TAB 20MG 30 
Depression	7227	QUILONUM SR-TAB 450MG 100 
Epilepsy	7569	RIVOTRIL AMP 1MG/1ML 5 
Lipids	7752	GEMFIBROZIL (SBPA) TAB 600MG 60 
Heart Failure	7765	ATENOLOL (SBPA) TAB 50MG 30 
Epilepsy	7792	SEAZE TAB 50MG 56 
Depression	7865	SERTRALINE (DP) TAB 100MG (AS HCL) 30 30
Depression	7873	SERTRA TAB 50MG (AS HCL) 30 
Depression	7882	SERTRALINE (DP) TAB 50MG (AS HCL) 30 30
Lipids	7936	SIMVASTATIN (GENRX) TAB 20MG 30 
Lipids	7942	SIMVASTATIN (GENRX) TAB 40MG 30 
Lipids	7946	SIMVASTATIN (TW) TAB 40MG 30 
Lipids	7951	SIMVAHEXAL TAB 80MG 30 BOTTLE
Lipids	7952	SIMVASTATIN-DP TAB 80MG 30 
Lipids	7953	SIMVASTATIN (TW) TAB 80MG 30 
Lipids	7954	SIMVAHEXAL TAB 5MG 30 BLISTER
Lipids	7961	SIMVAR TAB 20MG 30 
Lipids	7969	SIMVASTATIN (WINTHROP) TAB 5MG 30 
Lipids	7971	SIMVASTATIN (WINTHROP) TAB 10MG 30 
Lipids	7977	SIMVASTATIN (GEN HLTH) TAB 40MG 30 
Lipids	7978	SIMVASTATIN (GEN HLTH) TAB 80MG 30 
Lipids	7983	SIMVATRUST TAB 80MG 30 
Lipids	7985	SIMVASTATIN-SPIRIT TAB 20MG 30 
Lipids	7995	SIMVAHEXAL TAB 5MG 30 BOTTLE
Lipids	8035	SIMVASYN TAB 80MG 30 
Heart Failure	8182	SOTALOL (TW) TAB 160MG 60 
Chronic Obstructive Pulmonary Disease (COPD)	8208	SPIRIVA INH-CAP 18MCG 30 
Depression	8349	SURMONTIL TAB 25MG 50 
Depression	8350	SURMONTIL CAP 50MG 50 
Depression	8404	TALAM TAB 20MG 28 BLISTER
Heart Failure	8516	TENSIG TAB 50MG 30 
Hypertension	8541	TEVETEN TAB 300MG 56 
Hypertension	8542	TEVETEN TAB 400MG 28 
Epilepsy	8630	TOPAMAX SPRINKLE CAP 50MG 60 
Epilepsy	8653	TOPIRAMATE (SANDOZ) TAB 25MG 60 
Epilepsy	8756	TRILEPTAL TAB 300MG 100 
Epilepsy	8759	TRILEPTAL SUSP 60MG/ML, 250ML 1 
Heart Failure	8781	TRANDATE TAB 200MG 100 
Epilepsy	8927	VALPROATE (SANDOZ) EC-TABS 500MG 100 
Epilepsy	8928	VALPREASE EC-TABS 200MG 100 
Epilepsy	8929	VALPREASE EC-TABS 500MG 100 
Lipids	8972	VASTIN CAP 40MG 28 
Lipids	8974	VASTORAN TAB 40MG 30 
Heart Failure	8983	VEDILOL TAB 3.125MG 30 
Heart Failure	8985	VEDILOL TAB 12.5MG 60 
Epilepsy	9056	VIMPAT TAB 100MG 1 
Depression	9132	VOXAM TAB 100MG 30 
Lipids	9134	VYTORIN TAB 10MG/40MG 30 
Anti-Coagulant	9177	XARELTO TAB 10MG 10 
Urology	9183	XATRAL SR-TAB 10MG 30 30
Lipids	9352	ZIMSTAT TAB 40MG 30 BOTTLE
Lipids	9354	ZIMSTAT TAB 5MG 30 BLISTER
Lipids	9389	ZOCOR TAB 40MG 30 
Epilepsy	9431	ZONEGRAN CAP 25MG 56 
Immunology	9523	CIMZIA PFS 200MG/1ML SINGLE USE 2 
Diabetes	9551	METFORMIN (SANDOZ) TAB 850MG 60 BLISTER
Diabetes	9554	METFORMIN (GEN HLTH) TAB 1000MG 90 
Lipids	9566	PRAVASTATIN (SANDOZ) TAB 10MG 30 
Epilepsy	9603	LEVECETAM TAB 1G 60 
Depression	9630	VALDOXAN TAB 25MG 28 
Hypertension	9672	SEVIKAR TAB 40MG/10MG 30 
Depression	9816	SERTRACOR TAB 100MG (AS HCL) 30 
Diabetes	9835	GALVUMET TAB 50MG/1000MG 60 
Diabetes	9841	METFORMIN (APO) TAB 850MG 60 
Diabetes	9885	PIOGLITAZONE (APO) TAB 15MG (AS HCL) 28 
Diabetes	9888	PIOGLITAZONE (CHEM-MART) TAB 15MG (AS HCL) 28 
Diabetes	9895	PIOGLITAZONE (PHARMACOR) TAB 30MG (AS HCL) 28 
Diabetes	9896	PIOGLITAZONE (PHARMACOR) TAB 45MG (AS HCL) 28 
Depression	9909	SERTRALINE (DRLA) TAB 100MG (AS HCL) 30 30
Diabetes	9975	VEXAZONE TAB 15MG (AS HCL) 28 
Diabetes	9976	VEXAZONE TAB 30MG (AS HCL) 28 
Diabetes	9995	ONGLYZA TAB 5MG (AS HCL) 28 
Hypertension	10012	TWYNSTA TAB 40MG/10MG 28 
Hypertension	10013	TWYNSTA TAB 80MG/10MG 28 
Hypertension	10014	TWYNSTA TAB 80MG/5MG 28 
Osteoporosis	10111	RISEDRONATE (GA) TAB 35MG 4 
Urology	10118	FINPRO TAB 5MG 28 
Chronic Obstructive Pulmonary Disease (COPD)	10309	ONBREZ INH-CAP 300MCG 30 
Diabetes	10437	GLIMEPIRIDE (PHARMACOR) TAB 3MG 30 
Lipids	10457	SIMVACOR TAB 10MG 30 
Lipids	10459	SIMVACOR TAB 40MG 30 
Lipids	10461	SIMVASTATIN (SANDOZ) TAB 80MG 30 
Epilepsy	10510	LAMOTRIGINE (PS) TAB 50MG 56 
Lipids	10537	SIMVASTATIN (AURO) TAB 80MG 30 
Lipids	10542	TROVAS TAB 10MG 30 BOTTLE
Lipids	10548	TROVAS TAB 80MG 30 BOTTLE
Heart Failure	10582	BISOPROLOL (CHEM MART) TAB 2.5MG 28 
Heart Failure	10583	BISOPROLOL (CHEM MART) TAB 5MG 28 
Depression	10603	ELAXINE SR SR-CAP 37.5MG 28 
Hypertension	10786	TELMISARTAN (TPX BASE) TAB 40MG 28 
Depression	10791	VENLA (RBX) SR-CAP 75MG 28 
Depression	10795	VENLAFAXINE XR (APO) SR-CAP 75MG 28 
Depression	10796	VENLAFAXINE XR (CHEM MART) SR-CAP 75MG 28 
Depression	10797	VENLAFAXINE XR (CHEM MART) SR-CAP 150MG 28 
Lipids	10869	SIMVASTATIN (SYNTHON) TAB 20MG 30 
Lipids	10912	CADATIN TAB 10MG/10MG 30 
Lipids	10943	SIMVASTATIN (SANDOZ) TAB 10MG 30 
Anti-Coagulant	11013	XARELTO TAB 10MG 10 10
Anti-Coagulant	11014	XARELTO TAB 10MG 30 30
Lipids	11114	SIMVASTATIN (DRLA) TAB 80MG 30 
Diabetes	11154	PRIOTEN 30 TAB 30MG (AS HCL) 28 
Diabetes	11155	PRIOTEN 45 TAB 45MG (AS HCL) 28 
Epilepsy	11184	LEVETIRACETAM (PFIZER) TAB 500MG 60 
Osteoporosis	11208	RISEDRONATE EC COMBI (WINTH) O-PACK 35MG/1.25G (500MG CA 1 
Hypertension	11290	VALSARTAN/AMLODIPINE 80/5 (SZ) TAB 5MG/80MG 28 
Depression	11293	VENLAFAXINE SR (STADA) SR-CAP 150MG 28 
Hypertension	11379	IRBESARTAN (APO) TAB 150MG 30 
Hypertension	11466	IRBESARTAN (RBX) TAB 300MG 30 
Lipids	11570	ROSUVASTATIN (ACTAVIS) TAB 10MG 30 
Lipids	11573	ROSUVASTATIN (CHEM-MART) TAB 10MG 30 
Lipids	11582	ROSUVASTATIN (SANDOZ) TAB 20MG 30 
Lipids	11583	ROSUVASTATIN (TW) TAB 20MG 30 
Lipids	11585	ROSUVASTATIN (GH) TAB 40MG 30 
Lipids	11588	ROSUVASTATIN (RBX) TAB 40MG 30 
Lipids	11589	ROSUVASTATIN (SANDOZ) TAB 40MG 30 
Lipids	11595	ROSUVASTATIN (RBX) TAB 5MG 30 
Hypertension	11650	CANDESARTAN (SANDOZ) TAB 8MG 30 
Lipids	11723	ROSTOR 10 TAB 10MG 30 
Chronic Obstructive Pulmonary Disease (COPD)	11819	SEEBRI INH-CAP 50MCG 30 
Hypertension	11821	SEVIKAR HCT TAB 40MG/10MG/12.5MG 30 
Diabetes	11859	NESINA TAB 25MG 28 
Heart Failure	11925	SOTALOL (APO) TAB 80MG 60 
Heart Failure	11926	SOTALOL (APO) TAB 160MG 60 
Diabetes	11960	TRAJENTAMET TAB 2.5MG/850MG 60 
Diabetes	12005	JANUMET XR TAB 50MG/1G 56 
Depression	12031	VENLAFAXINE (ACTAVIS) SR-CAP 37.5MG 28 
Hypertension	12061	CANDESARTAN HCTZ (TW) TAB 32MG/12.5MG 30 
Diabetes	12090	METFORMIN XR 500 (APO) ER-TAB 500MG 120 BTL
Hypertension	12095	PRITOR/AMLODIPINE TAB 40MG/10MG 28 
Lipids	12099	ROSUVASTATIN-DRLA TAB 10MG 30 
Epilepsy	12147	LEVI TAB 1G 60 
Heart Failure	12158	MINAX XL CR-TAB 95MG 30 
Epilepsy	12259	GABAPENTIN (AN) TAB 800MG 100 
Diabetes	12260	GLIMEPIRIDE (AN) TAB 1MG 30 
Hypertension	12273	IRBESARTAN (GH) TAB 300MG 30 
Diabetes	12295	METFORMIN (AN) TAB 500MG 100 
Lipids	12345	PRAVASTATIN (AN) TAB 20MG 30 
Lipids	12368	ROSUVASTATIN (AN) TAB 10MG 30 
Lipids	12374	SIMVASTATIN (AN) TAB 10MG 30 
Hypertension	12381	TELMIGEN TAB 40MG 28 
Hypertension	12384	TELMISARTAN (DRLA) TAB 40MG 28 
Hypertension	12386	TELMISARTAN (TW) TAB 40MG 28 
Hypertension	12388	TELMISARTAN (CHEM-MART) TAB 80MG 28 
Hypertension	12394	TELMISARTAN (DRLA) TAB 80MG 28 
Hypertension	12489	TELMISARTAN (RBX) TAB 40MG 28 
Osteoporosis	12645	RALOXIFENE (TW) TAB 60MG 28 28
Hypertension	12659	TELMISARTAN HCT (GH) TAB 40MG/12.5MG 28 
Lipids	12690	ROSUVASTATIN (APO) TAB 40MG 30 BOTTLE
Lipids	12693	ROSUZET COMPOSITE PACK TAB 10MG/10MG 1 
Lipids	12695	ROSUZET COMPOSITE PACK TAB 10MG/40MG 1 
Hypertension	12848	DILART HCT TAB 160MG/12.5MG 28 
Heart Failure	13018	PROPRANOLOL (APO) TAB 10MG 100 
Heart Failure	13019	PROPRANOLOL (APO) TAB 40MG 100 
Immunology	13090	XELJANZ TAB 5MG 56 BOTTLE
Diabetes	13092	XIGDUO XR MR-TAB 10/1000 28 
Hypertension	13389	CANDESARTAN (BLOOMS) TAB 8MG 30 
Hypertension	13398	CANDESARTAN HCTZ (BLOOMS) TAB 32MG/12.5MG 30 
Diabetes	13520	GLYBOSAY TAB 50MG 90 
Hypertension	13524	VALSARTAN HCTZ (APO) TAB 160MG/25MG 28 
Hypertension	13525	VALSARTAN HCTZ (APO) TAB 80MG/12.5MG 28 
Depression	-2	ALTVEN XR SR-CAP 37.5MG 28 
Osteoporosis	143	ACTONEL ONCE-A-WEEK TAB 35MG 4 
Osteoporosis	144	ACTONEL COMBI O-PACK 35MG/1.25G 1 
Osteoporosis	270	ALENDRO ONCE WEEKLY TAB 70MG 4 
Depression	295	ALLEGRON TAB 10MG 50 
Depression	297	ALLEGRON LIQ 10MG/5ML 100ML 1 
Depression	419	AMIRA TAB 300MG 60 BOTTLE
Depression	420	AMIRA TAB 150MG 60 BLISTER
Depression	428	AMITROL 10 TAB 10MG 50 
Depression	429	AMITROL 25 TAB 25MG 50 
Diabetes	581	APIDRA INJ 100 UNITS/ML, 10ML 1 
Osteoporosis	583	ALENDRONATE (APO) TAB 70MG 4 
Depression	596	ESCITALOPRAM (APO) TAB 20MG 28 
Epilepsy	632	TOPIRAMATE (APO) TAB 25MG 60 
Epilepsy	634	TOPIRAMATE (APO) TAB 100MG 60 
Epilepsy	635	TOPIRAMATE (APO) TAB 200MG 60 
Hypertension	765	ATACAND TAB 16MG 30 
Hypertension	767	ATACAND TAB 32MG 30 
Heart Failure	771	ATENOLOL (DBL) TAB 50MG 30 
Depression	823	AURORIX TAB 150MG 60 
Diabetes	851	AVANDAMET TAB 4MG/1G 56 
Diabetes	852	AVANDAMET TAB 4MG/500MG 56 
Diabetes	853	AVANDIA TAB 8MG 28 
Depression	855	AVANZA SOLTAB OR-DISTAB 15MG 30 
Depression	856	AVANZA SOLTAB OR-DISTAB 30MG 30 
Depression	857	AVANZA SOLTAB OR-DISTAB 45MG 30 
Hypertension	861	AVAPRO HCT TAB 150MG/12.5MG 30 
Hypertension	865	AVAPRO TAB 300MG 30 30
Hypertension	868	AVAPRO TAB 150MG 28 28
Depression	885	AXIT TAB 30MG 30 
Diabetes	889	AYLIDE TAB 3MG 30 
Diabetes	890	AYLIDE TAB 4MG 30 
Heart Failure	1003	BETALOC INJ 5MG/5ML 5 
Heart Failure	1061	BISOPROLOL (SANDOZ) TAB 10MG 28 
Heart Failure	1064	BISPRO TAB 10MG 28 
Diabetes	1183	BYETTA PFP 10MCG/DOSE, 2.4ML 1 60 DOSE
Lipids	1256	CADUET TAB 5MG/10MG 30 
Lipids	1258	CADUET TAB 5MG/40MG 30 
Lipids	1260	CADUET TAB 10MG/10MG 30 
Lipids	1261	CADUET TAB 10MG/20MG 30 
Heart Failure	1392	CARVEDILOL (GENRX) TAB 25MG 60 
Heart Failure	1395	CARVEDILOL (CHEM-MART) TAB 6.25MG 60 
Heart Failure	1397	CARVEDILOL (CHEM-MART) TAB 12.5MG 60 
Heart Failure	1398	CARVEDILOL (TW) TAB 12.5MG 60 
Heart Failure	1402	CARVEDILOL (GN) TAB 6.25MG 60 
Heart Failure	1407	CARVEDILOL (SANDOZ) TAB 25MG 60 
Heart Failure	1409	CARVEDILOL (GEN HLTH) TAB 12.5MG 60 
Heart Failure	1413	CARVEDILOL (GENRX) TAB 12.5MG 60 
Depression	1538	CELAPRAM TAB 20MG 28 BOTTLE
Depression	1545	CELICA TAB 20MG 28 
Lipids	1642	CHOLSTAT TAB 10MG 30 
Depression	1724	CIPRAMIL TAB 20MG 28 
Depression	1761	CITALOPRAM GENRX TAB 40MG 28 
Depression	1764	CITALOPRAM (CR) TAB 20MG 28 
Depression	1765	CITALOBELL TAB 20MG 28 
Depression	1772	CITALOPRAM (CHEM-MART) TAB 20MG 28 
Depression	1773	CITALOPRAM GENRX TAB 20MG 28 
Anti-Coagulant	1826	CLEXANE INJ 60MG/0.6ML 10 10
Anti-Coagulant	1835	CLEXANE INJ 60MG/0.6ML 6 6
Anti-Coagulant	1836	CLEXANE INJ 80MG/0.8ML 6 6
Depression	1886	CLOPRAM TAB 25MG 50 
Depression	2044	CONCORZ TAB 50MG, (AS HCL) 30 30 BOTTLE
Heart Failure	2064	CORALAN TAB 5MG 56 
Anti-Coagulant	2085	COUMADIN TAB 2.5MG 50 
Lipids	2119	CRESTOR TAB 40MG 30 
Depression	2283	DEPTRAN TAB 75MG 30 
Heart Failure	2354	DERALIN TAB 160MG 50 
Diabetes	2427	DIAMICRON TAB 80MG 100 
Diabetes	2434	DIABEX XR ER-TAB 500MG, 120 1 
Diabetes	2435	DIABEX XR ER-TAB 500MG 120 120
Diabetes	2437	DIAFORMIN TAB 1000MG 90 
Diabetes	2448	DIAPRIDE TAB 4MG 30 
